geoid,name,population_e,white_e,black_e,asian_e,amind_e,hawpi_e,latino_e,medhhincome_e,inpoverty_e,abbrev,code
01,Alabama,4876250,3194929,1291524,65410,22740,1603,208626,50536,795989,Ala.,AL
02,Alaska,737068,446897,22857,44917,106271,9013,51870,77640,76933,Alaska,AK
04,Arizona,7050299,3857007,297107,226597,276396,12878,2208663,58945,1043764,Ariz.,AZ
05,Arkansas,2999370,2172453,456899,44927,17652,8614,224130,47597,496260,Ark.,AR
06,California,39283497,14605312,2169155,5610931,140831,140788,15327688,75235,5149742,Calif.,CA
08,Colorado,5610349,3818321,221526,174660,30393,7618,1208172,72331,565873,Colo.,CO
10,Delaware,957248,596497,207402,36656,2825,330,88364,68287,109400,Del.,DE
11,District of Columbia,692683,253373,314774,27188,1418,307,76191,86420,107140,D.C.,DC
09,Connecticut,3575074,2392013,354120,159989,5596,754,574240,78444,344146,Conn.,CT
12,Florida,20901636,11266347,3202687,559988,41989,10389,5346684,55660,2870487,Fla.,FL
13,Georgia,10403847,5485855,3244348,410705,19382,5164,992394,58700,1528558,Ga.,GA
16,Idaho,1717750,1407883,11316,23061,19027,2341,215476,55785,221256,Idaho,ID
15,Hawaii,1422094,312722,24377,524609,2241,133110,149118,81275,130649,Hawaii,HI
17,Illinois,12770631,7829850,1783708,692370,15108,2908,2186387,65886,1557873,Ill.,IL
18,Indiana,6665703,5271071,616545,150840,12348,1981,461850,56303,867996,Ind.,IN
19,Iowa,3139508,2690052,113560,75326,9251,3359,188311,60523,348122,Iowa,IA
20,Kansas,2910652,2208576,164509,84850,19236,1939,345680,59597,337739,Kans.,KS
21,Kentucky,4449052,3761855,353997,64764,8156,2667,162994,50589,747010,Ky.,KY
22,Louisiana,4664362,2735887,1492386,80014,23892,1088,239164,49469,871467,La.,LA
23,Maine,1335492,1244531,17368,14946,8017,353,22100,57918,153131,Maine,ME
24,Maryland,6018848,3062363,1768596,375951,12002,2294,606482,84805,539991,Md.,MD
25,Massachusetts,6850553,4903539,473181,449793,9667,2210,809179,81215,680962,Mass.,MA
26,Michigan,9965265,7477400,1358034,310420,45569,2649,507353,57144,1398527,Mich.,MI
27,Minnesota,5563378,4442126,349808,266436,52405,1952,299556,71306,526065,Minn.,MN
28,Mississippi,2984418,1689927,1121516,29466,13341,615,91202,45081,585786,Miss.,MS
29,Missouri,6104910,4849901,696379,119481,23632,7376,254791,55461,810045,Mo.,MO
30,Montana,1050649,904550,4666,8098,63738,776,40314,54970,134605,Mont.,MT
31,Nebraska,1914571,1512111,89872,45303,14417,1107,208271,61439,206579,Nebr.,NE
32,Nevada,2972382,1463237,259802,237588,27070,18162,853041,60365,384690,Nev.,NV
33,New Hampshire,1348124,1214927,18335,35971,1816,348,50493,76768,98682,N.H.,NH
34,New Jersey,8878503,4916380,1125541,834073,9813,2286,1794736,82545,869081,N.J.,NJ
35,New Mexico,2092454,782269,37911,30341,182874,1189,1020817,49754,392065,N.M.,NM
36,New York,19572319,10883812,2790504,1633539,46034,5689,3720983,68486,2681277,N.Y.,NY
37,North Carolina,10264876,6474688,2165301,290525,112504,5640,962665,54602,1467591,N.C.,NC
38,North Dakota,756717,638985,21577,10876,38482,863,28317,64894,78198,N.D.,ND
39,Ohio,11655397,9197115,1425887,256584,16946,3193,443415,56602,1588343,Ohio,OH
40,Oklahoma,3932870,2581231,280944,84020,285402,5629,417906,52919,598373,Okla.,OK
41,Oregon,4129803,3125842,75232,178412,38050,15785,537217,62818,533527,Ore.,OR
42,Pennsylvania,12791530,9777163,1363043,433115,14483,2616,935216,61744,1539183,Pa.,PA
44,Rhode Island,1057231,761432,60415,35401,3402,661,163226,67167,125826,R.I.,RI
45,South Carolina,5020806,3196421,1333876,78102,14748,3784,285458,53199,741650,S.C.,SC
46,South Dakota,870638,713546,17191,12511,73396,451,33024,58275,110553,S.D.,SD
47,Tennessee,6709356,4951558,1114068,116563,15553,3387,364174,53320,996930,Tenn.,TN
48,Texas,28260856,11856336,3328707,1340554,71081,21739,11116881,61874,4072194,Tex.,TX
50,Vermont,624313,579340,7901,10393,1807,296,12038,61973,65652,Vt.,VT
49,Utah,3096848,2425647,34571,71000,28515,26961,434832,71621,298537,Utah,UT
51,Virginia,8454463,5227569,1588726,536076,18092,5146,792001,74222,865691,Va.,VA
53,Washington,7404107,5073945,270704,625682,79694,47532,937579,73775,785244,Wash.,WA
54,West Virginia,1817305,1671546,65848,14319,3593,404,28368,46711,310044,W.Va.,WV
55,Wisconsin,5790716,4705599,364060,160706,46936,2107,394392,61747,639160,Wis.,WI
56,Wyoming,581024,488437,5193,4907,12547,460,57341,64049,62257,Wyo.,WY
